Track,Type,NAME,RENAME,Tissue,Desc,Bed_file,Bam_file
39,ATAC-seq,A2-GZ,A-Liver,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
40,ATAC-seq,A-PK32-GZ-2,A-Liver-PK32,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
41,ATAC-seq,A-PK2-YX,A-Pancreas-PK2,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
42,ATAC-seq,A-PK32-YX,A-Pancreas-PK32,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
43,ATAC-seq,A-PK29-JW,A-Gizzard-PK29,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
44,ATAC-seq,A-PK32-JW,A-Gizzard-PK32,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
45,ATAC-seq,A-PK29-KC-2,A-Jejunum-PK29,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
46,ATAC-seq,A-PK32-KC,A-Jejunum-PK32,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
47,ATAC-seq,A-PK2-MC,A-Cecum-PK2,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
48,ATAC-seq,A-PK32-MC,A-Cecum-PK32,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
49,CUT&TAG,PK32-DNao-H3K4ME3,C-Cortex-H3K4ME3-PK32,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
50,CUT&TAG,PK32-DNao-H3K4ME1,C-Cortex-H3K4ME1-PK32,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
51,CUT&TAG,PK32-DNao-H3K27AC,C-Cortex-H3K27AC-PK32,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
52,CUT&TAG,PK32-DNao-H3K27ME3,C-Cortex-H3K27ME3-PK32,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
53,CUT&TAG,H3K4me3-cerebrum-PK29-1,C-Cortex-H3K4ME3-PK29,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
54,CUT&TAG,H3K4me1-cerebrum-PK29-1,C-Cortex-H3K4ME1-PK29,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
