Track,Type,NAME,RENAME,Tissue,Desc,Bed_file,Bam_file
153,CUT&TAG,ZF35-LC-H3K4ME3,C-Ovary-H3K4ME3-ZF35,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
154,CUT&TAG,ZF35-LC-H3K4ME1,C-Ovary-H3K4ME1-ZF35,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
155,CUT&TAG,ZF35-LC-H3K27AC,C-Ovary-H3K27AC-ZF35,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
156,CUT&TAG,ZF35-LC-H3K27ME3,C-Ovary-H3K27ME3-ZF35,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
157,CUT&TAG,ZF36-LC-H3K4ME3,C-Ovary-H3K4ME3-ZF36,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
158,CUT&TAG,ZF36-LC-H3K4ME1,C-Ovary-H3K4ME1-ZF36,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
159,CUT&TAG,ZF36-LC-H3K27AC,C-Ovary-H3K27AC-ZF36,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
160,CUT&TAG,ZF36-LC--H3K27ME3,C-Ovary-H3K27ME3-ZF36,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
161,CUT&TAG,ZF35-PD-H3K4ME3,C-Magnum-H3K4ME3-ZF35,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
162,CUT&TAG,ZF35-PD-H3K4ME1,C-Magnum-H3K4ME1-ZF35,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
163,CUT&TAG,ZF35-PD-H3K27AC,C-Magnum-H3K27AC-ZF35,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
164,CUT&TAG,ZF35-PD-H3K27ME3,C-Magnum-H3K27ME3-ZF35,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
165,CUT&TAG,ZF36-PD-H3K4ME3,C-Magnum-H3K4ME3-ZF36,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
166,CUT&TAG,ZF36-PD-H3K4ME1,C-Magnum-H3K4ME1-ZF36,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
167,CUT&TAG,ZF36-PD-H3K27AC,C-Magnum-H3K27AC-ZF36,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
168,CUT&TAG,ZF36-PD--H3K27ME3,C-Magnum-H3K27ME3-ZF36,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
169,CUT&TAG,ZF35-ZG-H3K4ME3,C-Uterus-H3K4ME3-ZF35,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
170,CUT&TAG,ZF35-ZG-H3K4ME1,C-Uterus-H3K4ME1-ZF35,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
171,CUT&TAG,ZF35-ZG-H3K27AC,C-Uterus-H3K27AC-ZF35,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
172,CUT&TAG,ZF35-ZG-H3K27ME3,C-Uterus-H3K27ME3-ZF35,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
173,CUT&TAG,ZF36-ZG-H3K4ME3,C-Uterus-H3K4ME3-ZF36,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
174,CUT&TAG,ZF36-ZG-H3K4ME1,C-Uterus-H3K4ME1-ZF36,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
175,CUT&TAG,ZF36-ZG-H3K27AC,C-Uterus-H3K27AC-ZF36,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
176,CUT&TAG,ZF36-ZG--H3K27ME3,C-Uterus-H3K27ME3-ZF36,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
177,CUT&TAG,ZF31-GW-H3K4ME3,C-Testis-H3K4ME3-ZF31,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
178,CUT&TAG,ZF31-GW-H3K4ME1,C-Testis-H3K4ME1-ZF31,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
179,CUT&TAG,ZF31-GW-H3K27AC,C-Testis-H3K27AC-ZF31,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
180,CUT&TAG,ZF31-GW-H3K27ME3,C-Testis-H3K27ME3-ZF31,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
181,CUT&TAG,ZF32-GW-H3K4ME3,C-Testis-H3K4ME3-ZF32,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
182,CUT&TAG,ZF32-GW-H3K4ME1,C-Testis-H3K4ME1-ZF32,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
183,CUT&TAG,ZF32-GW-H3K27AC,C-Testis-H3K27AC-ZF32,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
184,CUT&TAG,ZF32-GW-H3K27ME3,C-Testis-H3K27ME3-ZF32,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
185,CUT&TAG,PK29-XZ-H3K4ME3-2,C-Heart-H3K4ME3-PK29,Heart,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
186,CUT&TAG,PK29-XZ-H3K4ME1-2,C-Heart-H3K4ME1-PK29,Heart,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
187,CUT&TAG,PK29-XZ-H3K27AC-2,C-Heart-H3K27AC-PK29,Heart,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
188,CUT&TAG,PK29-XZ--H3K27ME3-2,C-Heart-H3K27ME3-PK29,Heart,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
189,CUT&TAG,PK32-XZ-H3K4ME3,C-Heart-H3K4ME3-PK32,Heart,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
190,CUT&TAG,PK32-XZ-H3K4ME1,C-Heart-H3K4ME1-PK32,Heart,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
191,CUT&TAG,PK32-XZ-H3K27AC,C-Heart-H3K27AC-PK32,Heart,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
192,CUT&TAG,PK32-XZ-H3K27ME3,C-Heart-H3K27ME3-PK32,Heart,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
193,CUT&TAG,H3K4me3-kidney-PK29-1,C-Kidney-H3K4ME3-PK29,Kidney,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
194,CUT&TAG,H3K4me1-kidney-PK29-1,C-Kidney-H3K4ME1-PK29,Kidney,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
195,CUT&TAG,H3K27ac-kidney-PK29-1,C-Kidney-H3K27AC-PK29,Kidney,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
196,CUT&TAG,H3K27me3-kidney-PK29-1,C-Kidney-H3K27ME3-PK29,Kidney,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
197,CUT&TAG,PK32-SZ-H3K4ME3,C-Kidney-H3K4ME3-PK32,Kidney,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
198,CUT&TAG,PK32-SZ-H3K4ME1,C-Kidney-H3K4ME1-PK32,Kidney,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
199,CUT&TAG,PK32-SZ-H3K27AC,C-Kidney-H3K27AC-PK32,Kidney,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
200,CUT&TAG,PK32-SZ-H3K27ME3,C-Kidney-H3K27ME3-PK32,Kidney,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
201,CUT&TAG,C1-H3K4ME3-GZ,C-Liver-H3K4ME3-C1,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
202,CUT&TAG,C2-H3K4ME1-GZ,C-Liver-H3K4ME1-C2,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
203,CUT&TAG,H3K27ac-liver-B1,C-Liver-H3K27AC-B1,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
204,CUT&TAG,C4-H3K27ME3-GZ,C-Liver-H3K27ME3-C4,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
205,CUT&TAG,PK32-GZ-H3K4ME3,C-Liver-H3K4ME3-PK32,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
206,CUT&TAG,PK32-GZ-H3K4ME1,C-Liver-H3K4ME1-PK32,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
207,CUT&TAG,PK32-GZ-H3K27AC,C-Liver-H3K27AC-PK32,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
208,CUT&TAG,PK32-GZ-H3K27ME3,C-Liver-H3K27ME3-PK32,Liver,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
209,CUT&TAG,PK2-YX-H3K4ME3,C-Pancreas-H3K4ME3-PK2,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
210,CUT&TAG,PK2-YX-H3K4ME1,C-Pancreas-H3K4ME1-PK2,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
211,CUT&TAG,PK2-YX-H3K27AC,C-Pancreas-H3K27AC-PK2,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
212,CUT&TAG,PK2-YX-H3K27ME3,C-Pancreas-H3K27ME3-PK2,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
213,CUT&TAG,PK32-YX-H3K4ME3,C-Pancreas-H3K4ME3-PK32,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
214,CUT&TAG,PK32-YX-H3K4ME1,C-Pancreas-H3K4ME1-PK32,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
215,CUT&TAG,PK32-YX-H3K27AC,C-Pancreas-H3K27AC-PK32,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
216,CUT&TAG,PK32-YX-H3K27ME3,C-Pancreas-H3K27ME3-PK32,Pancreas,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
217,CUT&TAG,PK29-JW-H3K4ME3,C-Gizzard-H3K4ME3-PK29,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
218,CUT&TAG,PK29-JW-H3K4ME1,C-Gizzard-H3K4ME1-PK29,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
219,CUT&TAG,PK29-JW-H3K27AC,C-Gizzard-H3K27AC-PK29,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
220,CUT&TAG,PK29-JW-H3K27ME3,C-Gizzard-H3K27ME3-PK29,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
221,CUT&TAG,PK32-JW-H3K4ME3,C-Gizzard-H3K4ME3-PK32,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
222,CUT&TAG,PK32-JW-H3K4ME1,C-Gizzard-H3K4ME1-PK32,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
223,CUT&TAG,PK32-JW-H3K27AC,C-Gizzard-H3K27AC-PK32,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
224,CUT&TAG,PK32-JW-H3K27ME3,C-Gizzard-H3K27ME3-PK32,Gizzard,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
225,CUT&TAG,PK29-KC-H3K4ME3,C-Jejunum-H3K4ME3-PK29,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
226,CUT&TAG,PK29-KC-H3K4ME1,C-Jejunum-H3K4ME1-PK29,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
227,CUT&TAG,PK29-KC-H3K27AC,C-Jejunum-H3K27AC-PK29,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
228,CUT&TAG,PK29-KC-H3K27ME3,C-Jejunum-H3K27ME3-PK29,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
229,CUT&TAG,PK32-KC-H3K4ME3,C-Jejunum-H3K4ME3-PK32,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
230,CUT&TAG,PK32-KC-H3K4ME1,C-Jejunum-H3K4ME1-PK32,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
231,CUT&TAG,PK32-KC-H3K27AC,C-Jejunum-H3K27AC-PK32,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
232,CUT&TAG,PK32-KC-H3K27ME3,C-Jejunum-H3K27ME3-PK32,Jejunum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
233,CUT&TAG,PK2-MC-H3K4ME3,C-Cecum-H3K4ME3-PK2,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
234,CUT&TAG,PK2-MC-H3K4ME1,C-Cecum-H3K4ME1-PK2,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
235,CUT&TAG,PK2-MC-H3K27AC,C-Cecum-H3K27AC-PK2,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
236,CUT&TAG,PK2-MC-H3K27ME3,C-Cecum-H3K27ME3-PK2,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
237,CUT&TAG,PK32-MC-H3K4ME3,C-Cecum-H3K4ME3-PK32,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
238,CUT&TAG,PK32-MC-H3K4ME1,C-Cecum-H3K4ME1-PK32,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
239,CUT&TAG,PK32-MC-H3K27AC,C-Cecum-H3K27AC-PK32,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
240,CUT&TAG,PK32-MC-H3K27ME3,C-Cecum-H3K27ME3-PK32,Cecum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
