Track,Type,NAME,RENAME,Tissue,AS_file,Desc
33,ATAC-seq,A-ZF31-GW,A-Testis-ZF31,Testis,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Testis-ZF31_AS_significant_final.txt,
34,ATAC-seq,A-ZF32-GW,A-Testis-ZF32,Testis,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Testis-ZF32_AS_significant_final.txt,
35,ATAC-seq,A-PK29-XZ,A-Heart-PK29,Heart,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Heart-PK29_AS_significant_final.txt,
36,ATAC-seq,A-PK32-XZ2,A-Heart-PK32,Heart,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Heart-PK32_AS_significant_final.txt,
37,ATAC-seq,A-kidney-PK29-1,A-Kidney-PK29,Kidney,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Kidney-PK29_AS_significant_final.txt,
38,ATAC-seq,A-pk32-SZ-1,A-Kidney-PK32,Kidney,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Kidney-PK32_AS_significant_final.txt,
39,ATAC-seq,A2-GZ,A-Liver,Liver,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Liver_AS_significant_final.txt,
40,ATAC-seq,A-PK32-GZ-2,A-Liver-PK32,Liver,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Liver-PK32_AS_significant_final.txt,
41,ATAC-seq,A-PK2-YX,A-Pancreas-PK2,Pancreas,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Pancreas-PK2_AS_significant_final.txt,
42,ATAC-seq,A-PK32-YX,A-Pancreas-PK32,Pancreas,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Pancreas-PK32_AS_significant_final.txt,
43,ATAC-seq,A-PK29-JW,A-Gizzard-PK29,Gizzard,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Gizzard-PK29_AS_significant_final.txt,
44,ATAC-seq,A-PK32-JW,A-Gizzard-PK32,Gizzard,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Gizzard-PK32_AS_significant_final.txt,
45,ATAC-seq,A-PK29-KC-2,A-Jejunum-PK29,Jejunum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Jejunum-PK29_AS_significant_final.txt,
46,ATAC-seq,A-PK32-KC,A-Jejunum-PK32,Jejunum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Jejunum-PK32_AS_significant_final.txt,
47,ATAC-seq,A-PK2-MC,A-Cecum-PK2,Cecum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Cecum-PK2_AS_significant_final.txt,
48,ATAC-seq,A-PK32-MC,A-Cecum-PK32,Cecum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Cecum-PK32_AS_significant_final.txt,
49,CUT&TAG,PK32-DNao-H3K4ME3,C-Cortex-H3K4ME3-PK32,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cortex-H3K4ME3-PK32_AS_significant_final.txt,
50,CUT&TAG,PK32-DNao-H3K4ME1,C-Cortex-H3K4ME1-PK32,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cortex-H3K4ME1-PK32_AS_significant_final.txt,
51,CUT&TAG,PK32-DNao-H3K27AC,C-Cortex-H3K27AC-PK32,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cortex-H3K27AC-PK32_AS_significant_final.txt,
52,CUT&TAG,PK32-DNao-H3K27ME3,C-Cortex-H3K27ME3-PK32,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cortex-H3K27ME3-PK32_AS_significant_final.txt,
53,CUT&TAG,H3K4me3-cerebrum-PK29-1,C-Cortex-H3K4ME3-PK29,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cortex-H3K4ME3-PK29_AS_significant_final.txt,
54,CUT&TAG,H3K4me1-cerebrum-PK29-1,C-Cortex-H3K4ME1-PK29,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cortex-H3K4ME1-PK29_AS_significant_final.txt,
55,CUT&TAG,H3K27ac-cerebrum-PK29-1,C-Cortex-H3K27AC-PK29,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cortex-H3K27AC-PK29_AS_significant_final.txt,
56,CUT&TAG,H3K27me3-cerebrum-PK29-1,C-Cortex-H3K27ME3-PK29,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cortex-H3K27ME3-PK29_AS_significant_final.txt,
57,CUT&TAG,H3K4me3-cerebellum-pk29-1,C-Cerebellum-H3K4ME3-PK29,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/C-Cerebellum-H3K4ME3-PK29_AS_significant_final.txt,
